,id,name,subsystem,reaction,GPR
905,PRASCSi,Phosphoribosylaminoimidazolesuccinocarboxamide synthase,Purine and Pyrimidine Biosynthesis,5aizc[c] + asp__L[c] + atp[c] --> 25aics[c] + adp[c] + h[c] + pi[c],Rv0780
906,PRFGS,Phosphoribosylformylglycinamidine synthase,Purine and Pyrimidine Biosynthesis,atp[c] + fgam[c] + gln__L[c] + h2o[c] --> adp[c] + fpram[c] + glu__L[c] + h[c] + pi[c],Rv0803 and Rv0788
907,PUNP1,Purine-nucleoside phosphorylase (Adenosine),Purine and Pyrimidine Biosynthesis,adn[c] + pi[c] <=> ade[c] + r1p[c],Rv3307
908,PUNP2,Purine-nucleoside phosphorylase (Deoxyadenosine),Purine and Pyrimidine Biosynthesis,dad_2[c] + pi[c] <=> 2dr1p[c] + ade[c],Rv3307
909,PUNP3,Purine-nucleoside phosphorylase (Guanosine),Purine and Pyrimidine Biosynthesis,gsn[c] + pi[c] <=> gua[c] + r1p[c],Rv3307
910,PUNP4,Purine-nucleoside phosphorylase (Deoxyguanosine),Purine and Pyrimidine Biosynthesis,dgsn[c] + pi[c] <=> 2dr1p[c] + gua[c],
911,PUNP5,Purine-nucleoside phosphorylase (Inosine),Purine and Pyrimidine Biosynthesis,ins[c] + pi[c] <=> hxan[c] + r1p[c],Rv3307
912,PUNP6,Purine-nucleoside phosphorylase (Deoxyinosine),Purine and Pyrimidine Biosynthesis,din[c] + pi[c] <=> 2dr1p[c] + hxan[c],Rv3307
913,PUNP7,Purine-nucleoside phosphorylase (Xanthosine),Purine and Pyrimidine Biosynthesis,pi[c] + xtsn[c] <=> r1p[c] + xan[c],Rv3307
914,RNDR1,Ribonucleoside-diphosphate reductase (ADP),Purine and Pyrimidine Biosynthesis,adp[c] + trdrd[c] --> dadp[c] + h2o[c] + trdox[c],(Rv3051c and Rv3048c) or (Rv0570 and Rv1981c)
915,RNDR2,Ribonucleoside-diphosphate reductase (GDP),Purine and Pyrimidine Biosynthesis,gdp[c] + trdrd[c] --> dgdp[c] + h2o[c] + trdox[c],Rv3051c and Rv3048c
916,RNDR3,Ribonucleoside-diphosphate reductase (CDP),Purine and Pyrimidine Biosynthesis,cdp[c] + trdrd[c] --> dcdp[c] + h2o[c] + trdox[c],Rv3051c and Rv3048c
917,RNDR4,Ribonucleoside-diphosphate reductase (UDP),Purine and Pyrimidine Biosynthesis,trdrd[c] + udp[c] --> dudp[c] + h2o[c] + trdox[c],(Rv3051c and Rv3048c) or (Rv0570 and Rv1981c)
918,RNTR4,Ribonucleoside triphosphate reductase  UTP ,Purine and Pyrimidine Biosynthesis,trdrd[c] + utp[c] --> dutp[c] + h2o[c] + trdox[c],
919,SADT,Sulfate adenylyltransferase,Purine and Pyrimidine Biosynthesis,atp[c] + h[c] + so4[c] --> aps[c] + ppi[c],Rv1285 and Rv1286
920,TMDPP,Thymidine phosphorylase,Purine and Pyrimidine Biosynthesis,pi[c] + thymd[c] <=> 2dr1p[c] + thym[c],Rv3314c
921,TMDS,Thymidylate synthase,Purine and Pyrimidine Biosynthesis,dump[c] + mlthf[c] --> dhf[c] + dtmp[c],Rv2764c
922,TRDR,Thioredoxin reductase (NADPH),Purine and Pyrimidine Biosynthesis,h[c] + nadph[c] + trdox[c] --> nadp[c] + trdrd[c],Rv3913
923,UMPK,UMP kinase,Purine and Pyrimidine Biosynthesis,atp[c] + ump[c] <=> adp[c] + udp[c],Rv1712 and Rv2883c
924,UPPRT,Uracil phosphoribosyltransferase,Purine and Pyrimidine Biosynthesis,prpp[c] + ura[c] --> ppi[c] + ump[c],Rv3309c
925,UREA,Urease,Purine and Pyrimidine Biosynthesis,h2o[c] + 2.0 h[c] + urea[c] --> co2[c] + 2.0 nh4[c],Rv1850 and Rv1849 and Rv1848 and Rv1853 and Rv1851 and Rv1852
926,URIDK2r,Uridylate kinase (dUMP),Purine and Pyrimidine Biosynthesis,atp[c] + dump[c] <=> adp[c] + dudp[c],
927,URIK2,Uridine kinase (GTP:Uridine),Purine and Pyrimidine Biosynthesis,gtp[c] + uri[c] --> gdp[c] + h[c] + ump[c],
928,YUMPS,YUMP synthetase,Purine and Pyrimidine Biosynthesis,r5p[c] + ura[c] <=> h2o[c] + psd5p[c],Rv2793c or Rv3300c
929,DHORDi,Dihydoorotic acid dehydrogenase  irreversible ,Purine and Pyrimidine Biosynthesis,dhor__S[c] + o2[c] --> h2o2[c] + orot[c],Rv2139
930,BARB,MNXR70450,Purine and Pyrimidine Biosynthesis,h2o[c] + nad[c] + ura[c] <=> barb[c] + h[c] + nadh[c],
931,DHORD2,Dihydoorotic acid dehydrogenase (quinone8),Purine and Pyrimidine Biosynthesis,dhor__S[c] + q8[c] --> orot[c] + q8h2[c],Rv2139
932,GTPDPDP,"Guanosine-5'-triphosphate,3'-diphosphate diphosphatase",Purine and Pyrimidine Biosynthesis,gdptp[c] + h2o[c] <=> h[c] + pi[c] + ppgpp[c],
933,PPGPPDP,"Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",Purine and Pyrimidine Biosynthesis,h2o[c] + ppgpp[c] --> gdp[c] + ppi[c],
934,TMDS3,Thymidylate synthase (FAD dependent),Purine and Pyrimidine Biosynthesis,dump[c] + h[c] + mlthf[c] + nadph[c] --> dtmp[c] + nadp[c] + thf[c],Rv2754c
935,ACACT1r,Acetyl-CoA C-acetyltransferase,Pyruvate Metabolism,2.0 accoa[c] <=> aacoa[c] + coa[c],Rv1323 or Rv3556c or Rv1135A
936,ACALD,Acetaldehyde dehydrogenase (acetylating),Pyruvate Metabolism,acald[c] + coa[c] + nad[c] --> accoa[c] + h[c] + nadh[c],Rv3535c
937,ACKr,Acetate kinase,Pyruvate Metabolism,ac[c] + atp[c] <=> actp[c] + adp[c],Rv0409
938,BDH,BDH,Pyruvate Metabolism,bhb[c] + nad[c] <=> acac[c] + h[c] + nadh[c],
939,HOPNTAL,4-hydroxy-2-oxopentanoate aldolase,Pyruvate Metabolism,4h2opntn[c] --> acald[c] + pyr[c],Rv3469c or Rv3534c
940,INDPYRD,Indole 3 pyruvate decarboxylase,Pyruvate Metabolism,h[c] + indpyr[c] <=> co2[c] + id3acald[c],Rv0853c
941,LO,LO,Pyruvate Metabolism,lac__L[c] + o2[c] --> ac[c] + co2[c] + h2o[c],
942,L_LACD,L LACD,Pyruvate Metabolism,2.0 ficytc[c] + lac__L[c] --> 2.0 focytc[c] + pyr[c],Rv1872c or Rv0694
943,L_LACD2,L-Lactate dehydrogenase (ubiquinone),Pyruvate Metabolism,lac__L[c] + q8[c] --> pyr[c] + q8h2[c],Rv1872c
944,L_LACD3,L-Lactate dehydrogenase (menaquinone),Pyruvate Metabolism,lac__L[c] + mqn8[c] --> mql8[c] + pyr[c],Rv1872c
945,MALS,Malate synthase,Pyruvate Metabolism,accoa[c] + glx[c] + h2o[c] --> coa[c] + h[c] + mal__L[c],Rv1837c
946,ME1,Malic enzyme (NAD),Pyruvate Metabolism,mal__L[c] + nad[c] --> co2[c] + nadh[c] + pyr[c],Rv2332
947,PFL,Pyruvate formate lyase,Pyruvate Metabolism,coa[c] + pyr[c] --> accoa[c] + for[c],
948,PPDK,"Pyruvate,phosphate dikinase.",Pyruvate Metabolism,atp[c] + pi[c] + pyr[c] --> amp[c] + h[c] + pep[c] + ppi[c],Rv1127c
949,PTAr,Phosphotransacetylase,Pyruvate Metabolism,accoa[c] + pi[c] <-- actp[c] + coa[c],Rv0408
950,2O4EH,R_2O4EH,Pyruvate Metabolism,2h24pdn[c] + h2o[c] --> 4h2opntn[c],Rv3536c
951,MGSA,Methylglyoxal synthase,Pyruvate Metabolism,dhap[c] --> mthgxl[c] + pi[c],
952,ALCD22_L,Alcohol dehydrogenase (L-lactaldehyde),Pyruvate Metabolism,lald__L[c] + nad[c] <-- h[c] + mthgxl[c] + nadh[c],Rv2298
953,GLYCS_I,R_GLYCS_I,Pyruvate Metabolism,gthrd[c] + mthgxl[c] --> lgt_s[c],Rv2581c or Rv0634c or Rv2641
954,GLYCS_II,R_GLYCS_II,Pyruvate Metabolism,h2o[c] + lgt_s[c] --> gthrd[c] + h[c] + lac__L[c],Rv0577 or Rv0911
955,LCADi,Lactaldehyde dehydrogenase,Pyruvate Metabolism,h2o[c] + lald__L[c] + nad[c] --> 2.0 h[c] + lac__L[c] + nadh[c],
956,ACCOAC,Acetyl-CoA carboxylase,Pyruvate Metabolism,accoa[c] + atp[c] + hco3[c] <=> adp[c] + h[c] + malcoa[c] + pi[c],Rv3285 and Rv2247
957,L_LACDcm_1,L  LACDcm,Pyruvate Metabolism,fmn[c] + lac__L[c] <=> fmnh2[c] + pyr[c],Rv1872c or Rv0694
958,ACYP_2,Acylphosphatase (2),Pyruvate Metabolism,actp[c] + h2o[c] --> ac[c] + h[c] + pi[c],Rv2922A
959,ALDD1,Aldehyde dehydrogenase  formaldehyde  NAD ,Redox Metabolism,fald[c] + h2o[c] + nad[c] --> for[c] + 2.0 h[c] + nadh[c],Rv2259 or Rv1895 or Rv3045
960,BMNMSHS,BMNMSHS,Redox Metabolism,bmn[c] + msh[c] --> bmnmsh[c] + 2.0 h[c],
961,CAT,Catalase,Redox Metabolism,2.0 h2o2[c] --> 2.0 h2o[c] + o2[c],Rv1908c
962,CIGAMS,Cys-1D-myo-inositol 2-deoxy-D-glucopyranoside synthase,Redox Metabolism,atp[c] + cys__L[c] + igam[c] --> amp[c] + cigam[c] + 2.0 h[c] + ppi[c],Rv2130c
963,CMCBTFL,CMCBTFL,Redox Metabolism,cmcbtt[c] + fe3[e] --> fcmcbtt[c],Rv2895c and Rv1348 and Rv1349
964,CMCBTFU,CMCBTFU,Redox Metabolism,fcmcbtt[c] --> cmcbtt[c] + fe3[c],Rv2895c and Rv1348 and Rv1349
965,CYTBD,Cytochrome oxidase bd (ubiquinol-8: 2 protons),Redox Metabolism,2.0 h[c] + 0.5 o2[c] + q8h2[c] --> h2o[c] + 2.0 h[e] + q8[c],(Rv1622c and Rv1620c) or (Rv1622c and Rv1621c)
966,CYTBD2,CYTBD2,Redox Metabolism,2.0 h[c] + mql8[c] + 0.5 o2[c] --> h2o[c] + 2.0 h[e] + mqn8[c],Rv1620c and Rv1621c and Rv1622c and Rv1623c
967,FCOAH2,Formyl coa hydrolase,Redox Metabolism,forcoa[c] + h2o[c] --> coa[c] + for[c] + h[c],Rv0098 or Rv2605c or Rv1618
968,FE3Ri,Fe(III) reduction,Redox Metabolism,fadh2[c] + 2.0 fe3[c] --> fad[c] + 2.0 fe2[c] + 2.0 h[c],
969,FETRANS,FETRANS,Redox Metabolism,fmcbtt[c] <=> fe2[c] + mcbtt[c],
970,FHL,Formate-hydrogen lyase,Redox Metabolism,for[c] + h[c] --> co2[c] + h2[c],Rv0084
971,FORMCOAL,FORMCOAL,Redox Metabolism,atp[c] + coa[c] + for[c] <=> amp[c] + forcoa[c] + ppi[c],
972,GTHS,Glutathione synthetase,Redox Metabolism,atp[c] + glucys[c] + gly[c] --> adp[c] + gthrd[c] + h[c] + pi[c],
973,MSHOXH,MSHOXH,Redox Metabolism,h2o[c] + mshfaldox[c] --> for[c] + h[c] + msh[c],
974,MYCTR,MYCTR,Redox Metabolism,2.0 msh[c] + nadp[c] <=> h[c] + mssg[c] + nadph[c],Rv2855
975,MYCTR2,MYCTR2,Redox Metabolism,gthox[c] + 2.0 msh[c] --> 2.0 gthrd[c] + mssg[c],Rv2855
976,NO,NO,Redox Metabolism,no[c] + o2s[c] --> no3[c],
977,NTRIR2x,Nitrite Reductase (NADH),Redox Metabolism,5.0 h[c] + 3.0 nadh[c] + no2[c] --> 2.0 h2o[c] + 3.0 nad[c] + nh4[c],Rv0252 and Rv0253
978,NTRIRy,Nitrite reductase (NADPH),Redox Metabolism,4.0 h[c] + 3.0 nadph[c] + no2[c] --> h2o[c] + 3.0 nadp[c] + nh4oh[c],Rv0252 and Rv0253
979,PRDX,Peroxidase (multiple substrates),Redox Metabolism,h2o2[c] + meoh[c] --> fald[c] + 2.0 h2o[c],
980,NAGINS,MNXR21171,Redox Metabolism,h2o[c] + iacgam3p[c] <=> 2.0 h[c] + iacgam[c] + pi[c],
981,NMO,Nitronate Monooxygenase,Redox Metabolism,etha[c] + fmnh2[c] + o2[c] --> acald[c] + fmn[c] + no2[c],Rv0021c or Rv1533 or Rv1894c or Rv2781c or Rv3553
982,SIRA2,MNXR84814,Redox Metabolism,6.0 fdxox[c] + 3.0 h2o[c] + h2s[c] <=> 6.0 fdxrd[c] + 8.0 h[c] + so3[c],Rv2391
983,ACP1_FMN,Acid phosphatase (FMN),Riboflavin Metabolism,fmn[c] + h2o[c] --> pi[c] + ribflv[c],Rv3310
984,APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,Riboflavin Metabolism,5apru[c] + h[c] + nadph[c] --> 5aprbu[c] + nadp[c],Rv2671 or Rv1409
985,DHPPDA,Diaminohydroxyphosphoribosylaminopyrimidine deaminase,Riboflavin Metabolism,25dhpp[c] + h2o[c] + h[c] --> 5apru[c] + nh4[c],Rv1409
986,DHPPDA2,Diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp),Riboflavin Metabolism,25drapp[c] + h2o[c] + h[c] --> 5apru[c] + nh4[c],Rv2671 or Rv1409
987,FMNAT,FMN adenylyltransferase,Riboflavin Metabolism,atp[c] + fmn[c] + h[c] --> fad[c] + ppi[c],Rv2786c
988,GTPCII,GTP cyclohydrolase II,Riboflavin Metabolism,gtp[c] + 3.0 h2o[c] --> 25dhpp[c] + for[c] + 2.0 h[c] + ppi[c],Rv1415 or Rv1940
989,NNDMBRT,Nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase,Riboflavin Metabolism,dmbzid[c] + nicrnt[c] --> 5prdmbz[c] + h[c] + nac[c],Rv2207
990,RBFK,Riboflavin kinase,Riboflavin Metabolism,atp[c] + ribflv[c] --> adp[c] + fmn[c] + h[c],Rv2786c
991,RBFSa,Riboflavin synthase,Riboflavin Metabolism,4r5au[c] + db4p[c] --> dmlz[c] + 2.0 h2o[c] + pi[c],Rv1416
992,RBFSb,Riboflavin synthase,Riboflavin Metabolism,2.0 dmlz[c] --> 4r5au[c] + ribflv[c],Rv1412
993,ORNDC,Ornithine Decarboxylase,Spermidine biosynthesis,h[c] + orn[c] --> co2[c] + ptrc[c],Rv2531c
994,GLGE,GLGE,Starch and sucrose metabolism,malt1p[c] --> 2.0 14glucan[c] + pi[c],Rv1327c
995,TREY,MNXR86764,Starch and sucrose metabolism,2.0 14glucan[c] + h2o[c] --> tre[c],Rv1564c and Rv1563c and Rv1562c
996,GLGB,MNXR80417,Starch and sucrose metabolism,14glucan[c] --> glycogen[c],Rv1326c and Rv3031
997,GLGP,GLGP,Starch and sucrose metabolism,14glucan[c] + glycogen[c] + 2.0 pi[c] --> 2.0 g1p[c],Rv1328
998,AMYL2,MNXR87084,Starch and sucrose metabolism,adpglc[c] <=> 14glucan[c] + adp[c] + h[c],Rv3032 or Rv1212c
999,PEPA,MNXR86162,Starch and sucrose metabolism,malt[c] + pi[c] --> h2o[c] + malt6p[c],Rv0125
1000,ADSK,Adenylyl-sulfate kinase,Sulfur metabolism,aps[c] + atp[c] --> adp[c] + h[c] + paps[c],Rv1286
1001,IGAMD,1D-myo-inositol 2-Acetamido-2-deoxy-D-glucopyranoside deacetylase,Sulfur metabolism,h2o[c] + iacgam[c] --> ac[c] + igam[c],Rv1170
1002,MDFDH,MDFDH,Sulfur metabolism,mshfald[c] + nad[c] <=> h[c] + mshfaldox[c] + nadh[c],Rv2259
1003,MSHAMID,MSHAMID,Sulfur metabolism,bmnmsh[c] + h2o[c] --> acysbmn[c] + igam[c],Rv1082
1004,MSHS,Mycothiol synthase,Sulfur metabolism,accoa[c] + cigam[c] --> coa[c] + msh[c],Rv0819
1005,PAPA1,PAPA1,Sulfur metabolism,hphthiocnylcoa[c] + sl659[c] --> coa[c] + sl1278[c],Rv3824c
1006,PAPA2,PAPA2,Sulfur metabolism,h[c] + pmtcoa[c] + tres[c] --> coa[c] + sl659[c],Rv3820c
1007,MMPL8,MMPL8,Sulfur metabolism,2.0 hphthiocnylcoa[c] + sl1278[c] --> 2.0 coa[c] + sl1[c],Rv3823c
1008,APSR,Adenosine 5'-phosphosulfate reductase;,Sulfur metabolism,aps[c] + trdrd[c] --> amp[c] + 2.0 h[c] + so3[c] + trdox[c],Rv2392
1009,BPNT2,3'-Phospho-5'-adenylyl sulfate 3'-phosphohydrolase,Sulfur metabolism,h2o[c] + paps[c] --> aps[c] + pi[c],Rv2131c
1010,PMPK,Phosphomethylpyrimidine kinase,Thiamine Metabolism,4ampm[c] + atp[c] --> 2mahmp[c] + adp[c],Rv0422c
1011,TMPK,Thiamine-phosphate kinase,Thiamine Metabolism,atp[c] + thmmp[c] <=> adp[c] + thmpp[c],Rv2977c
1012,TMPPP,Thiamine-phosphate diphosphorylase,Thiamine Metabolism,2mahmp[c] + 4mpetz[c] + h[c] --> ppi[c] + thmmp[c],Rv0414c
1013,DAPDC,Diaminopimelate decarboxylase,Threonine and Lysine Metabolism,26dap__M[c] + h[c] --> co2[c] + lys__L[c],Rv1293
1014,DAPE,Diaminopimelate epimerase,Threonine and Lysine Metabolism,26dap_LL[c] <=> 26dap__M[c],Rv2726c
1015,DHDPRy,Dihydrodipicolinate reductase (NADPH),Threonine and Lysine Metabolism,23dhdp[c] + h[c] + nadph[c] --> nadp[c] + thdp[c],Rv2773c
1016,DHDPS,Dihydrodipicolinate synthase,Threonine and Lysine Metabolism,aspsa[c] + pyr[c] --> 23dhdp[c] + 2.0 h2o[c] + h[c],Rv2753c
1017,SDPDS,Succinyl-diaminopimelate desuccinylase,Threonine and Lysine Metabolism,h2o[c] + sl26da[c] --> 26dap_LL[c] + succ[c],Rv1202
1018,SDPTA,Succinyldiaminopimelate transaminase,Threonine and Lysine Metabolism,akg[c] + sl26da[c] <=> glu__L[c] + sl2a6o[c],Rv1655 or Rv0858c
1019,THDPS,Tetrahydrodipicolinate succinylase,Threonine and Lysine Metabolism,h2o[c] + succoa[c] + thdp[c] --> coa[c] + sl2a6o[c],Rv1201c
1020,ACYSBMNt,ACYSBMNt,Transpor,acysbmn[c] <=> acysbmn[e],
1021,ALAt2r,L alanine reversible transport via proton symport,Transpor,ala__L[e] + h[e] <=> ala__L[c] + h[c],
1022,ARB_Dabc,ARB Dabc,Transpor,arab__D[e] + atp[c] + h2o[c] --> adp[c] + arab__D[c] + h[c] + pi[c],
1023,ARBabc,L-arabinose transport via ABC system,Transpor,arab__L[e] + atp[c] + h2o[c] --> adp[c] + arab__L[c] + h[c] + pi[c],
1024,ARBt2r,L-arabinose transport via proton symport,Transpor,arab__L[e] + h[e] <=> arab__L[c] + h[c],
1025,ARGt5r,ARGtiDF,Transpor,arg__L[e] <=> arg__L[c],Rv2320c
1026,ASNt2r,L asparagine reversible transport via proton symport,Transpor,asn__L[e] + h[e] <=> asn__L[c] + h[c],Rv2127 or Rv0346c
1027,ASPt2r,L aspartate reversible transport via proton symport,Transpor,asp__L[e] + h[e] <=> asp__L[c] + h[c],Rv0346c or Rv2127
1028,BALAt2r,Beta Alanine transport in via proton symport,Transpor,ala_B[e] + h[e] <=> ala_B[c] + h[c],Rv0522
1029,BMNt,BMNt,Transpor,bmn[c] <=> bmn[e],
1030,CAATPS,CAATPS,Transpor,atp[c] + 2.0 ca2[c] + h2o[c] --> adp[c] + 2.0 ca2[e] + h[e] + pi[c],Rv0107c
1031,CAt4,Calcium transport inout via proton antiporter,Transpor,ca2[c] + h[e] <=> ca2[e] + h[c],Rv1607
1032,CHLabc,Choline transport via ABC system,Transpor,atp[c] + chol[e] + h2o[c] --> adp[c] + chol[c] + h[c] + pi[c],Rv3756c and Rv3757c and Rv3758c and Rv3759c
1033,CITabc,Citrate transport via ABC system,Transpor,atp[c] + cit[e] + h2o[c] --> adp[c] + cit[c] + h[c] + pi[c],
1034,CO2t,CO2 transporter via diffusion,Transpor,co2[e] <=> co2[c],
1035,COAt,COAt,Transpor,coa[e] <=> coa[c],
1036,COBALTt5,COBALTt5,Transpor,cobalt2[c] <=> cobalt2[e],Rv1239c
1037,COt,CO transporter via diffusion,Transpor,co[c] <=> co[e],
1038,CRNabc,L-carnitine transport via ABC system,Transpor,atp[c] + crn[e] + h2o[c] --> adp[c] + crn[c] + h[c] + pi[c],Rv3756c and Rv3757c and Rv3758c and Rv3759c
1039,CYTDt2,Cytidine transport in via proton symport,Transpor,cytd[e] + h[e] <=> cytd[c] + h[c],
1040,Clt,Major Facilitator(MFS) TCDB:2.A.1.14.6,Transpor,cl[e] <=> cl[c],Rv0143c
1041,Cuabc,Copper transport via ABC system,Transpor,atp[c] + cu2[e] + h2o[c] --> adp[c] + cu2[c] + h[c] + pi[c],Rv0092 or Rv0103c
1042,Cut1,Copper export via ATPase,Transpor,atp[c] + cu2[c] + h2o[c] --> adp[c] + cu2[e] + h[c] + pi[c],Rv0092 or Rv0103c
1043,DALAt2r,D-alanine transport via proton symport,Transpor,ala__D[e] + h[e] <=> ala__D[c] + h[c],Rv1704c
1044,DSERt2,D-serine transport via proton symport,Transpor,h[e] + ser__D[e] <=> h[c] + ser__D[c],Rv1704c
1045,ETHAt,Ethanolamine transport via diffusion  extracellular ,Transpor,etha[e] <=> etha[c],
1046,ADtr,"Acetamide transport, extracellular ",Transpor,ad[e] <=> ad[c],
1047,FUMt2r,Fumarate reversible transport via symport,Transpor,fum[e] + h[e] <=> fum[c] + h[c],Rv2443
1048,GALt2,D galactose transport in via proton symport,Transpor,gal[e] + h[e] --> gal[c] + h[c],Rv3331
1049,GLCabc,D-glucose transport via ABC system,Transpor,atp[c] + glc__D[e] + h2o[c] --> adp[c] + glc__D[c] + h[c] + pi[c],(Rv2316 and Rv2317 and Rv2318) or (Rv1235 and Rv1236 and Rv1237 and Rv1238) or (Rv2038c and Rv2039c and Rv2040c and Rv2041c)
1050,GLUt2r,L glutamate transport via proton symport  reversible,Transpor,glu__L[e] + h[e] <=> glu__L[c] + h[c],
1051,GLYBabc,Glycine betaine transport via ABC system,Transpor,atp[c] + glyb[e] + h2o[c] --> adp[c] + glyb[c] + h[c] + pi[c],Rv3757c and Rv3759c and Rv3756c and Rv3758c
1052,GLYC3Pabc,Sn-Glycerol 3-phosphate transport via ABC system,Transpor,atp[c] + glyc3p[e] + h2o[c] --> adp[c] + glyc3p[c] + h[c] + pi[c],Rv2832c and Rv2833c and Rv2834c and Rv2835c
1053,GLYCt,Glycerol transport via channel,Transpor,glyc[c] <=> glyc[e],
1054,GLYt2r,Glycine reversible transport via proton symport,Transpor,gly[e] + h[e] <=> gly[c] + h[c],Rv1704c
1055,GTHRDt2_1,Glutathione transport,Transpor,atp[c] + gthrd[e] + h2o[c] --> adp[c] + gthrd[c] + h[c] + pi[c],Rv1280c and Rv1281c and Rv1282c and Rv1283c
1056,H2CO3TP,H2CO3TP,Transpor,h2co3[e] <=> h2co3[c],
1057,H2Ot,H2O transport via diffusion,Transpor,h2o[e] <=> h2o[c],
1058,H2St1,H2s transport (diffusion),Transpor,h2s[c] --> h2s[e],
1059,H2td,Hydrogen transport,Transpor,h2[c] <=> h2[e],
1060,HDCAt2,Hexadecanoate transport via proton symport,Transpor,h[e] + hdca[e] --> h[c] + hdca[c],
1061,HISt2r,L histidine reversible transport via proton symport,Transpor,h[e] + his__L[e] <=> h[c] + his__L[c],
1062,ID3ACALDt,Indoleacetaldehyde transport  extracellular ,Transpor,id3acald[c] <=> id3acald[e],
1063,ILEt2r,L isoleucine reversible transport via proton symport,Transpor,h[e] + ile__L[e] <=> h[c] + ile__L[c],
1064,Kabc,Potassium ABC transporter,Transpor,atp[c] + h2o[c] + k[e] --> adp[c] + h[c] + k[c] + pi[c],(Rv1029 and Rv1030 and Rv1031) or Rv1373 or Rv2267c or Rv3529c
1065,Kt1,Potassium transport via uniport (facilitated diffusion),Transpor,k[e] --> k[c],Rv2691 and Rv2692
1066,LCTSabc,Lactose transport via ABC system (import),Transpor,atp[c] + h2o[c] + lcts[e] --> adp[c] + h[c] + lcts[c] + pi[c],Rv2316 and Rv2317 and Rv2318
1067,LEUt2r,L leucine reversible transport via proton symport,Transpor,h[e] + leu__L[e] <=> h[c] + leu__L[c],
1068,LYSt5r,LYStiDF,Transpor,lys__L[e] <=> lys__L[c],Rv2320c
1069,L_LACt2r,L lactate reversible transport via proton symport,Transpor,h[e] + lac__L[e] <=> h[c] + lac__L[c],Rv0191
1070,L_LACt3,L LACt3,Transpor,h[e] + lac__L[c] --> h[c] + lac__L[e],Rv0191
1071,MALTHPabc,MALTHPabc,Transpor,atp[c] + h2o[c] + malthp[e] --> adp[c] + h[c] + malthp[c] + pi[c],Rv1236 and Rv1237 and Rv1238
1072,MALTabc,Maltose transport via ABC system,Transpor,atp[c] + h2o[c] + malt[e] --> adp[c] + h[c] + malt[c] + pi[c],(Rv2316 and Rv2317 and Rv2318) or (Rv1235 and Rv1236 and Rv1237 and Rv1238) or (Rv2038c and Rv2039c and Rv2040c and Rv2041c)
1073,MALt2r,L malate reversible transport via proton symport,Transpor,h[e] + mal__L[e] <=> h[c] + mal__L[c],Rv2443
1074,MEOHt2,Methanol diffusion,Transpor,meoh[e] <=> meoh[c],
1075,METabc,L-methionine transport via ABC system,Transpor,atp[c] + h2o[c] + met__L[e] --> adp[c] + h[c] + met__L[c] + pi[c],
1076,MGt5,Magnesium transport in/out via permease (no H+),Transpor,mg2[c] <=> mg2[e],Rv1239c
1077,NAKtr,NAKtr,Transpor,k[c] + na1[e] --> k[e] + na1[c],Rv3236c
1078,NARK,"Nitrite transport, extracellular",Transpor,no2[c] --> no2[e],(Rv1737c and Rv2329c and Rv0261c) or Rv0267
1079,NAt,Sodium transport (uniport),Transpor,na1[e] <=> na1[c],Rv2287
1080,NH4t,Ammonia reversible transport,Transpor,nh4[e] <=> nh4[c],Rv2920c
1081,NOt,NO transport (diffusion),Transpor,no[e] <=> no[c],
1082,O2t,O2 transport  diffusion ,Transpor,o2[e] <=> o2[c],
1083,OCDCAt2,Octadecanoate transport via proton symport,Transpor,h[e] + ocdca[e] --> h[c] + ocdca[c],
1084,ORNt,Ornithine transport via diffusion,Transpor,orn[e] <=> orn[c],Rv2320c
1085,PACt2r,PACt2r,Transpor,h[e] + pac[e] <=> h[c] + pac[c],
1086,PDIMAT,Pdima translocase,Transpor,pdima[c] --> pdima[e],Rv2942 and Rv2936 and Rv2937 and Rv2938 and Rv2945c
1087,PHDCAt,PHDCAt,Transpor,phdca[e] <=> phdca[c],
1088,PHEt2r,L phenylalanine reversible transport via proton symport,Transpor,h[e] + phe__L[e] <=> h[c] + phe__L[c],
1089,PIabc,Phosphate transport via ABC system,Transpor,atp[c] + h2o[c] + pi[e] --> adp[c] + h[c] + 2.0 pi[c],(Rv0934 and Rv0936 and Rv0935 and Rv0933) or (Rv0932c and Rv0930 and Rv0929 and Rv0933) or (Rv0928 and Rv0930 and Rv0933) or Rv0545c or Rv2281 or Rv0820 or (Rv0935 and Rv0930 and Rv0933 and Rv0936 and Rv0929)
1090,PPAtr,"Propionate transport, diffusion",Transpor,ppa[e] <=> ppa[c],
1091,PPDIMAT,Ppdima translocase,Transpor,ppdima[c] --> ppdima[e],Rv2942 and Rv2936 and Rv2937 and Rv2938 and Rv2945c
1092,PROabc,L-proline transport via ABC system,Transpor,atp[c] + h2o[c] + pro__L[e] --> adp[c] + h[c] + pi[c] + pro__L[c],Rv3756c and Rv3757c and Rv3758c and Rv3759c
1093,PROt2r,L proline reversible transport via proton symport,Transpor,h[e] + pro__L[e] <=> h[c] + pro__L[c],
1094,PYRt2,Pyruvate transport in via proton symport,Transpor,h[e] + pyr[e] <=> h[c] + pyr[c],Rv1902c
